individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,target,year
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,6,0,2020
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,6,0,2020
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,6,0,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11101,11,"Gebühren, sonstige Entgelte", ,12,374,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11901,11,Einnahmen aus Veröffentlichungen, ,12,0,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11999,11,Vermischte Einnahmen, ,12,244,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,12,1254,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,13,70,2020
2,Deutscher Bundestag,E,Übrige Einnahmen,212,Deutscher Bundestag,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,13,0,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Der Wehrbeauftragte des Deutschen Bundestages,11999,11,Vermischte Einnahmen, ,29,1,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Der Wehrbeauftragte des Deutschen Bundestages,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,29,0,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,11999,11,Vermischte Einnahmen, ,37,1,2020
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,37,1,2020
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,6,0,2020
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,6,0,2020
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,6,0,2020
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,6,20,2020
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11101,11,"Gebühren, sonstige Entgelte", ,11,0,2020
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11901,11,Einnahmen aus Veröffentlichungen, ,11,0,2020
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11999,11,Vermischte Einnahmen, ,11,1,2020
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,11,35,2020
3,Bundesrat,E,Übrige Einnahmen,312,Bundesrat,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,11,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,410,Sonstige Bewilligungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,6,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,11,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,11,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,11,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben, ,11,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,11957,18,Vermischte Einnahmen, ,11,16,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,11,38,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzlerin und Bundeskanzleramt,11101,11,"Gebühren, sonstige Entgelte", ,16,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzlerin und Bundeskanzleramt,11999,11,Vermischte Einnahmen, ,16,50,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzlerin und Bundeskanzleramt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,16,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,412,Bundeskanzlerin und Bundeskanzleramt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,16,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",11999,11,Vermischte Einnahmen, ,21,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",28201,11,Einnahmen aus Spenden für den Nationalen Aktionsplan Integration, ,21,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,21,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,21,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,27,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,27,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,27,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,11957,18,Vermischte Einnahmen, ,27,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,27,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11901,11,Einnahmen aus Veröffentlichungen, ,32,85,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11999,11,Vermischte Einnahmen, ,32,140,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,32,30,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,432,Presse- und Informationsamt der Bundesregierung,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,32,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,28208,124,Einnahmen aus Prämienzahlungen der Bundesanstalt für Immobilienaufgaben, ,39,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,39,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,39,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,11957,18,Vermischte Einnahmen, ,39,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,39,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,11999,11,Vermischte Einnahmen, ,47,1350,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,13201,195,Erlöse aus der Veräußerung von beweglichen Sachen, ,48,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,23201,195,Beteiligung der Länder an den Kosten des Deutschen Nationalkomitees für Denkmalschutz und andere Beiträge, ,48,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,27201,187,Einnahmen aus Zuschüssen der Europäischen Union, ,48,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,48,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11101,162,"Gebühren, sonstige Entgelte", ,102,655,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11901,162,Einnahmen aus Veröffentlichungen, ,103,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11999,162,Vermischte Einnahmen, ,103,304,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,12401,162,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,103,22,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,13201,162,Erlöse aus der Veräußerung von beweglichen Sachen, ,103,10,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,28201,162,Einnahmen aus zweckgebundenen Zuschüssen, ,103,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,104,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,104,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,11999,187,Vermischte Einnahmen, ,111,6,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,27201,187,Einnahmen aus Zuschüssen der Europäischen Union, ,111,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,111,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,111,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,11101,162,"Gebühren, sonstige Entgelte", ,115,160,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,11901,162,Einnahmen aus Veröffentlichungen, ,115,15,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,11999,162,Vermischte Einnahmen, ,115,6,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,12401,162,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,115,0,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Verwaltungseinnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,13201,162,Erlöse aus der Veräußerung von beweglichen Sachen, ,115,15,2020
4,Bundeskanzlerin und Bundeskanzleramt,E,Übrige Einnahmen,455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,115,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,501,Sicherung von Frieden und Stabilität,11999,29,Vermischte Einnahmen, ,7,7500,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,28601,29,Rückeinnahmen aus Leistungen der Ausstattungshilfe, ,7,200,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,7,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11901,13,Einnahmen aus Veröffentlichungen, ,21,20,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11999,29,Vermischte Einnahmen, ,21,500,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,27201,165,Zuschüsse der EU zur Durchführung von Aufträgen, ,21,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,21,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,11999,24,Vermischte Einnahmen, ,36,7500,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,13101,21,Erlöse aus dem Verkauf von Liegenschaften im Ausland, ,36,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,504,Pflege kultureller Beziehungen zum Ausland,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,36,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,62,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,62,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben, ,62,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,62,112,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,62,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,71,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11111,11,"Gebühren, sonstige Entgelte", ,71,1103,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11911,11,Einnahmen aus Veröffentlichungen, ,71,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11919,11,Vermischte Einnahmen, ,71,80,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,12411,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,71,355,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13211,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,71,343,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11121,21,"Gebühren, sonstige Entgelte", ,72,142805,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11929,21,Vermischte Einnahmen, ,72,400,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,12421,21,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,72,7500,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13122,21,Erlöse aus dem Verkauf von Liegenschaften im Ausland, ,73,1680,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13221,21,Erlöse aus der Veräußerung von beweglichen Sachen, ,73,500,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,26621,21,Erstattung von Verwaltungsausgaben aus dem Ausland, ,73,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11101,165,"Gebühren, sonstige Entgelte", ,89,31,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11901,165,Einnahmen aus Veröffentlichungen, ,89,50,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11999,165,Vermischte Einnahmen, ,89,8,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,12401,165,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,90,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,13201,165,Erlöse aus der Veräußerung von beweglichen Sachen, ,90,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,27201,165,Zuschüsse von der EU zur Durchführung von Aufträgen, ,90,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,90,0,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,90,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11101,11,"Gebühren, sonstige Entgelte", ,98,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11901,11,Einnahmen aus Veröffentlichungen, ,98,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11999,11,Vermischte Einnahmen, ,98,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,98,0,2020
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,98,7,2020
5,Auswärtiges Amt,E,Übrige Einnahmen,514,Bundesamt für Auswärtige Angelegenheiten,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,98,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Verwaltungseinnahmen,601,"Heimat, Gesellschaft und Verfassung",11999,12,Vermischte Einnahmen, ,10,100,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",27201,11,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen, ,10,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,10,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Verwaltungseinnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",11999,12,Vermischte Einnahmen, ,30,2150,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",23201,42,Beiträge der Länder zum Polizei-IT-Fonds, ,30,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",27202,12,Zuschüsse der Europäischen Union, ,30,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,30,0,2020
6,"Bundesministerium des Innern, für Bau und Heimat",E,Verwaltungseinnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",11999,246,Vermischte Einnahmen, ,42,10000,2020
