individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,soll
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,11999,11,Vermischte Einnahmen, ,18,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,18,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,18,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,18,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,6,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,6,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,6,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,6,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11101,11,"Gebühren, sonstige Entgelte", ,12,382
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11901,11,Einnahmen aus Veröffentlichungen, ,12,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11999,11,Vermischte Einnahmen, ,12,110
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,12,1257
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,13,70
2,Deutscher Bundestag,E,Übrige Einnahmen,212,Deutscher Bundestag,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,13,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Die Wehrbeauftragte des Deutschen Bundestages,11999,11,Vermischte Einnahmen, ,29,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Die Wehrbeauftragte des Deutschen Bundestages,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,29,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,11999,11,Vermischte Einnahmen, ,37,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,37,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,217,Die Bundesbeauftragte für die Opfer der SED-Diktatur beim Deutschen Bundestag,11999,11,Vermischte Einnahmen, ,40,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,217,Die Bundesbeauftragte für die Opfer der SED-Diktatur beim Deutschen Bundestag,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,40,1
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,6,0
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,6,0
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,6,0
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,6,20
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11101,11,"Gebühren, sonstige Entgelte", ,11,0
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11901,11,Einnahmen aus Veröffentlichungen, ,11,0
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11999,11,Vermischte Einnahmen, ,11,1
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,11,0
3,Bundesrat,E,Übrige Einnahmen,312,Bundesrat,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,11,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,410,Sonstige Bewilligungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,6,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,10,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,10,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,10,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben, ,10,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,11957,18,Vermischte Einnahmen, ,10,16
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,10,38
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,11101,11,"Gebühren, sonstige Entgelte", ,15,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,11999,11,Vermischte Einnahmen, ,15,50
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,15,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,412,Bundeskanzler und Bundeskanzleramt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,15,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",11999,11,Vermischte Einnahmen, ,20,600
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",28201,11,Einnahmen aus Spenden für den Nationalen Aktionsplan Integration, ,20,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,20,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,20,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,415,Der Beauftragte der Bundesregierung für Ostdeutschland,11999,11,Vermischte Einnahmen, ,27,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,415,Der Beauftragte der Bundesregierung für Ostdeutschland,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,27,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,32,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,32,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,32,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,11957,18,Vermischte Einnahmen, ,32,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,32,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11901,11,Einnahmen aus Veröffentlichungen, ,37,85
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11999,11,Vermischte Einnahmen, ,37,140
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,37,30
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,432,Presse- und Informationsamt der Bundesregierung,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,37,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,44,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,44,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,44,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,11957,18,Vermischte Einnahmen, ,44,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,44,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,11999,11,Vermischte Einnahmen, ,51,101350
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,13201,195,Erlöse aus der Veräußerung von beweglichen Sachen, ,52,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,23201,195,Beteiligung der Länder an den Kosten des Deutschen Nationalkomitees für Denkmalschutz und andere Beiträge, ,52,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,27201,187,Einnahmen aus Zuschüssen der Europäischen Union, ,52,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,52,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11101,162,"Gebühren, sonstige Entgelte", ,104,815
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11901,162,Einnahmen aus Veröffentlichungen, ,105,15
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11999,162,Vermischte Einnahmen, ,105,310
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,12401,162,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,105,22
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,13201,162,Erlöse aus der Veräußerung von beweglichen Sachen, ,106,25
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,28201,162,Einnahmen aus zweckgebundenen Zuschüssen, ,106,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,106,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,106,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,11999,187,Vermischte Einnahmen, ,115,6
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,27201,187,Einnahmen aus Zuschüssen der Europäischen Union, ,115,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,115,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,115,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,11901,187,Einnahmen aus Veröffentlichungen, ,122,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,11999,187,Vermischte Einnahmen, ,122,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,13201,195,Erlöse aus der Veräußerung von beweglichen Sachen, ,122,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,28201,195,Einnahmen aus Erstattungen, ,123,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,123,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,123,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,501,Sicherung von Frieden und Stabilität,11999,29,Vermischte Einnahmen, ,7,7500
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,28601,29,Rückeinnahmen aus Leistungen der Ausstattungshilfe, ,7,200
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,7,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11901,13,Einnahmen aus Veröffentlichungen, ,22,20
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11999,29,Vermischte Einnahmen, ,22,500
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,27201,165,Zuschüsse der EU zur Durchführung von Aufträgen, ,22,0
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,22,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,11999,24,Vermischte Einnahmen, ,37,7500
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,13101,21,Erlöse aus dem Verkauf von Liegenschaften im Ausland, ,37,0
5,Auswärtiges Amt,E,Übrige Einnahmen,504,Pflege kultureller Beziehungen zum Ausland,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,37,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,63,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,63,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben, ,63,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,63,112
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,63,0
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,72,0
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben, ,72,0
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11111,11,"Gebühren, sonstige Entgelte", ,72,1003
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11911,11,Einnahmen aus Veröffentlichungen, ,72,0
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11919,11,Vermischte Einnahmen, ,72,80
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,12411,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,72,355
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13211,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,72,343
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11121,21,"Gebühren, sonstige Entgelte", ,73,120000
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,11929,21,Vermischte Einnahmen, ,73,400
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,12421,21,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,73,7500
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13122,21,Erlöse aus dem Verkauf von Liegenschaften im Ausland, ,74,1680
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,13221,21,Erlöse aus der Veräußerung von beweglichen Sachen, ,74,500
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,26621,21,Erstattung von Verwaltungsausgaben aus dem Ausland, ,74,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11101,165,"Gebühren, sonstige Entgelte", ,90,31
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11901,165,Einnahmen aus Veröffentlichungen, ,90,50
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11999,165,Vermischte Einnahmen, ,90,8
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,12401,165,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,91,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,13201,165,Erlöse aus der Veräußerung von beweglichen Sachen, ,91,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,27201,165,Zuschüsse von der EU zur Durchführung von Aufträgen, ,91,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen, ,91,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,91,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11101,11,"Gebühren, sonstige Entgelte", ,100,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11901,11,Einnahmen aus Veröffentlichungen, ,100,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11999,11,Vermischte Einnahmen, ,100,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,100,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,100,7
5,Auswärtiges Amt,E,Übrige Einnahmen,514,Bundesamt für Auswärtige Angelegenheiten,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,100,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,601,"Heimat, Gesellschaft und Verfassung",11999,12,Vermischte Einnahmen, ,9,58924
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",27201,11,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen, ,9,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,9,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",11999,12,Vermischte Einnahmen, ,30,2150
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",23201,42,Beiträge der Länder zum Polizei-IT-Fonds, ,30,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",27202,12,Zuschüsse der Europäischen Union, ,30,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,30,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",11999,246,Vermischte Einnahmen, ,45,10000
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",16204,246,Zinsen aus Darlehen an Deutsche aus dem in Art. 3 des Einigungsvertrages genannten Gebiet zum Existenzaufbau in der gewerbl. Wirtschaft und in freien Berufen sowie zur Eingl. in die Landwirtschaft, ,45,1
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",18203,249,Rückflüsse aus Darlehen an ehemalige deutsche Kriegsgefangene und politische Häftlinge, ,45,0
