individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,target
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,412,Bundeskanzler und Bundeskanzleramt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,15.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration. Die Beauftragte der Bundesregierung für Antirassismus",11999,11,Vermischte Einnahmen,,20.0,800
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration. Die Beauftragte der Bundesregierung für Antirassismus",28201,11,Einnahmen aus Spenden für den Nationalen Aktionsplan Integration,,20.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration. Die Beauftragte der Bundesregierung für Antirassismus",28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,20.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration. Die Beauftragte der Bundesregierung für Antirassismus",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,20.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,415,Der Beauftragte der Bundesregierung für Ostdeutschland,11999,11,Vermischte Einnahmen,,27.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,415,Der Beauftragte der Bundesregierung für Ostdeutschland,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,27.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,33.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,33.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,33.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11901,11,Einnahmen aus Veröffentlichungen,,38.0,85
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,11999,11,Vermischte Einnahmen,,38.0,140
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,432,Presse- und Informationsamt der Bundesregierung,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,38.0,30
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,432,Presse- und Informationsamt der Bundesregierung,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,38.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,45.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,45.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,45.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,11999,11,Vermischte Einnahmen,,53.0,566350
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,13201,195,Erlöse aus der Veräußerung von beweglichen Sachen,,54.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,23201,195,Beteiligung der Länder an den Kosten des Deutschen Nationalkomitees für Denkmalschutz und andere Beiträge,,54.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,27201,187,Einnahmen aus Zuschüssen der Europäischen Union,,54.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,452,Die Beauftragte der Bundesregierung für Kultur und Medien,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,54.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11101,162,"Gebühren, sonstige Entgelte",,107.0,815
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11901,162,Einnahmen aus Veröffentlichungen,,107.0,15
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,11999,162,Vermischte Einnahmen,,108.0,310
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,12401,162,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,108.0,22
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,453,Bundesarchiv,13201,162,Erlöse aus der Veräußerung von beweglichen Sachen,,108.0,25
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,28201,162,Einnahmen aus zweckgebundenen Zuschüssen,,108.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,109.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,453,Bundesarchiv,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,109.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,11999,187,Vermischte Einnahmen,,116.0,6
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,27201,187,Einnahmen aus Zuschüssen der Europäischen Union,,116.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,116.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,116.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,11901,187,Einnahmen aus Veröffentlichungen,,120.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,11999,187,Vermischte Einnahmen,,120.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,456,Kunstverwaltung des Bundes,13201,195,Erlöse aus der Veräußerung von beweglichen Sachen,,120.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,28201,195,Einnahmen aus Erstattungen,,121.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,121.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,456,Kunstverwaltung des Bundes,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,121.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,501,Sicherung von Frieden und Stabilität,11999,29,Vermischte Einnahmen,,7.0,7500
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,28601,29,Rückeinnahmen aus Leistungen der Ausstattungshilfe,,7.0,200
5,Auswärtiges Amt,E,Übrige Einnahmen,501,Sicherung von Frieden und Stabilität,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,7.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11901,13,Einnahmen aus Veröffentlichungen,,22.0,20
5,Auswärtiges Amt,E,Verwaltungseinnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,11999,29,Vermischte Einnahmen,,22.0,500
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,27201,165,Zuschüsse der EU zur Durchführung von Aufträgen,,22.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,22.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,11999,24,Vermischte Einnahmen,,37.0,7500
5,Auswärtiges Amt,E,Verwaltungseinnahmen,504,Pflege kultureller Beziehungen zum Ausland,13101,21,Erlöse aus dem Verkauf von Liegenschaften im Ausland,,37.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,504,Pflege kultureller Beziehungen zum Ausland,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,37.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,62.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,62.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,62.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,,62.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,512,Bundesministerium,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,71.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11101,165,"Gebühren, sonstige Entgelte",,89.0,11
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11901,165,Einnahmen aus Veröffentlichungen,,89.0,50
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,11999,165,Vermischte Einnahmen,,89.0,8
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,12401,165,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,90.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,513,Deutsches Archäologisches Institut,13201,165,Erlöse aus der Veräußerung von beweglichen Sachen,,90.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,27201,165,Zuschüsse von der EU zur Durchführung von Aufträgen,,90.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,90.0,0
5,Auswärtiges Amt,E,Übrige Einnahmen,513,Deutsches Archäologisches Institut,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,90.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11101,11,"Gebühren, sonstige Entgelte",,98.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11901,11,Einnahmen aus Veröffentlichungen,,98.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,11999,11,Vermischte Einnahmen,,98.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,98.0,0
5,Auswärtiges Amt,E,Verwaltungseinnahmen,514,Bundesamt für Auswärtige Angelegenheiten,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,98.0,7
5,Auswärtiges Amt,E,Übrige Einnahmen,514,Bundesamt für Auswärtige Angelegenheiten,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,98.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,601,"Heimat, Gesellschaft und Verfassung",11999,12,Vermischte Einnahmen,,9.0,1100
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",27201,11,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen,,9.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,601,"Heimat, Gesellschaft und Verfassung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,9.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",11999,12,Vermischte Einnahmen,,33.0,2150
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",23201,42,Beiträge der Länder zum Polizei-IT-Fonds,,33.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",27202,12,Zuschüsse der Europäischen Union,,33.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,33.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",11999,246,Vermischte Einnahmen,,48.0,15000
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",16204,246,Zinsen aus Darlehen an Deutsche aus dem in Art. 3 des Einigungsvertrages genannten Gebiet zum Existenzaufbau in der gewerbl. Wirtschaft und in freien Berufen sowie zur Eingl. in die Landwirtschaft,,48.0,1
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",18203,249,Rückflüsse aus Darlehen an ehemalige deutsche Kriegsgefangene und politische Häftlinge,,48.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",18204,246,Tilgung aus Darlehen an Deutsche aus dem in Art. 3 des Einigungsvertrages genannten Gebiet zum Existenzaufbau in der gewerbl. Wirtschaft und in freien Berufen sowie zur Eingl. in die Landwirtschaft,,48.0,19
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",23201,246,Anteilige Kosten der Länder zu den Leistungen nach Abschnitt II und IV des Flüchtlingshilfegesetzes,,48.0,1
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",27101,219,Einnahmen aus Erstattungen des Europäischen Asyl- und Migrationsfonds (AMIF),,48.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",27201,219,Einnahmen aus Zuschüssen des europäischen Flüchtlingsfonds,,49.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",27202,219,Einnahmen aus Zuschüssen des Europäischen Asyl- und Migrationsfonds (AMIF),,49.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",27203,219,Einnahmen aus Zuschüssen des Europäischen Integrationsfonds,,49.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",27204,219,Einnahmen aus Zuschüssen des Europäischen Rückkehrfonds,,49.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,603,"Integration und Migration, Minderheiten und Vertriebene",38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,49.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,610,Sonstige Bewilligungen,11999,43,Vermischte Einnahmen,,65.0,1
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,610,Sonstige Bewilligungen,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,65.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,610,Sonstige Bewilligungen,13201,43,Erlöse aus der Veräußerung von beweglichen Sachen,,65.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,610,Sonstige Bewilligungen,27201,11,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen,,65.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,610,Sonstige Bewilligungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,65.0,0
6,Bundesministerium des Innern und für Heimat,E,Verwaltungseinnahmen,611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11999,12,Vermischte Einnahmen,,78.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,78.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,78.0,0
6,Bundesministerium des Innern und für Heimat,E,Übrige Einnahmen,611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,,78.0,0
